iter	Passed	Remaining
0	161	160949
1	176	88147
2	192	64068
3	208	51798
4	212	42306
5	228	37814
6	244	34656
7	259	32222
8	275	30346
9	290	28754
10	308	27699
11	325	26794
12	343	26113
13	362	25496
14	379	24912
15	396	24357
16	411	23769
17	426	23263
18	442	22833
19	458	22454
20	473	22057
21	489	21739
22	498	21177
23	513	20895
24	528	20625
25	544	20387
26	559	20164
27	574	19953
28	590	19763
29	606	19602
30	621	19426
31	637	19271
32	653	19163
33	670	19049
34	686	18934
35	704	18867
36	721	18782
37	738	18693
38	755	18605
39	770	18491
40	787	18417
41	803	18334
42	820	18255
43	836	18174
44	853	18112
45	879	18243
46	897	18195
47	913	18115
48	929	18043
49	945	17969
50	962	17904
51	978	17835
52	994	17764
53	1011	17713
54	1027	17649
55	1043	17589
56	1059	17528
57	1075	17467
58	1092	17427
59	1109	17385
60	1126	17337
61	1143	17298
62	1160	17258
63	1178	17230
64	1195	17195
65	1211	17151
66	1229	17119
67	1245	17075
68	1262	17040
69	1280	17017
70	1297	16982
71	1314	16948
72	1331	16907
73	1348	16871
74	1364	16829
75	1380	16783
76	1396	16742
77	1413	16704
78	1429	16669
79	1445	16627
80	1462	16592
81	1479	16558
82	1495	16522
83	1511	16483
84	1527	16445
85	1543	16402
86	1559	16361
87	1575	16323
88	1590	16283
89	1605	16234
90	1622	16203
91	1637	16164
92	1653	16123
93	1668	16085
94	1684	16045
95	1700	16015
96	1716	15979
97	1731	15938
98	1747	15901
99	1763	15867
100	1779	15835
101	1794	15794
102	1809	15761
103	1825	15730
104	1841	15693
105	1856	15660
106	1872	15626
107	1887	15587
108	1903	15558
109	1918	15525
110	1937	15520
111	1954	15500
112	1971	15477
113	1989	15461
114	2007	15445
115	2023	15421
116	2040	15397
117	2056	15372
118	2072	15345
119	2089	15324
120	2104	15291
121	2120	15257
122	2134	15222
123	2150	15190
124	2165	15158
125	2180	15123
126	2196	15096
127	2211	15068
128	2228	15044
129	2243	15015
130	2258	14982
131	2274	14954
132	2290	14929
133	2305	14901
134	2320	14869
135	2336	14841
136	2352	14818
137	2367	14788
138	2383	14763
139	2399	14740
140	2414	14712
141	2430	14684
142	2446	14661
143	2461	14631
144	2477	14608
145	2492	14579
146	2507	14551
147	2524	14531
148	2539	14504
149	2554	14477
150	2570	14453
151	2585	14423
152	2600	14398
153	2617	14377
154	2633	14355
155	2648	14330
156	2663	14302
157	2679	14277
158	2694	14251
159	2709	14227
160	2725	14201
161	2741	14182
162	2758	14163
163	2773	14136
164	2790	14120
165	2807	14107
166	2825	14093
167	2841	14074
168	2857	14052
169	2872	14025
170	2888	14003
171	2903	13977
172	2919	13953
173	2934	13931
174	2949	13906
175	2965	13884
176	2980	13858
177	2996	13836
178	3011	13813
179	3027	13789
180	3042	13766
181	3057	13743
182	3073	13719
183	3088	13695
184	3103	13672
185	3119	13651
186	3135	13631
187	3150	13606
188	3166	13587
189	3182	13567
190	3199	13549
191	3215	13533
192	3232	13516
193	3249	13499
194	3268	13492
195	3285	13476
196	3302	13460
197	3320	13447
198	3336	13430
199	3353	13412
200	3369	13395
201	3386	13376
202	3403	13362
203	3419	13344
204	3436	13327
205	3453	13309
206	3470	13295
207	3487	13280
208	3504	13263
209	3520	13242
210	3536	13224
211	3553	13209
212	3570	13192
213	3587	13177
214	3606	13169
215	3624	13156
216	3643	13145
217	3661	13133
218	3680	13124
219	3698	13112
220	3715	13096
221	3732	13079
222	3749	13063
223	3765	13046
224	3783	13030
225	3800	13015
226	3817	12999
227	3834	12983
228	3850	12963
229	3867	12947
230	3884	12931
231	3901	12914
232	3918	12899
233	3936	12884
234	3952	12866
235	3969	12850
236	3985	12831
237	4001	12811
238	4018	12794
239	4034	12774
240	4049	12753
241	4065	12733
242	4081	12713
243	4096	12692
244	4112	12673
245	4128	12655
246	4145	12638
247	4161	12620
248	4179	12607
249	4196	12588
250	4213	12572
251	4230	12556
252	4246	12538
253	4263	12521
254	4279	12501
255	4294	12481
