iter	RMSE
0	14.03972396
1	13.62345549
2	13.22435853
3	12.82160436
4	12.46744503
5	12.10459128
6	11.79202782
7	11.48716211
8	11.17996788
9	10.90186039
10	10.59459342
11	10.34206831
12	10.0770027
13	9.812760156
14	9.572156669
15	9.331506636
16	9.113218763
17	8.887276197
18	8.679423909
19	8.470968469
20	8.264988184
21	8.069205134
22	7.871605327
23	7.699130632
24	7.518960348
25	7.35640418
26	7.197977348
27	7.045748349
28	6.899275653
29	6.764097068
30	6.636679648
31	6.504120628
32	6.384297444
33	6.26377759
34	6.148791627
35	6.059705065
36	5.969483073
37	5.873130939
38	5.777940953
39	5.689655264
40	5.593386312
41	5.516750466
42	5.441664827
43	5.366454501
44	5.299761305
45	5.229742568
46	5.162977574
47	5.101853162
48	5.044403632
49	4.99065925
50	4.93970696
51	4.882008657
52	4.839246935
53	4.796621293
54	4.752846767
55	4.707398166
56	4.667380419
57	4.628215076
58	4.58882842
59	4.55868464
60	4.525491691
61	4.49176042
62	4.464651656
63	4.433682085
64	4.405724414
65	4.379818528
66	4.353092051
67	4.332319875
68	4.311823502
69	4.289121407
70	4.270078039
71	4.251690922
72	4.230037373
73	4.211400938
74	4.193786491
75	4.178668134
76	4.161926337
77	4.148361777
78	4.131282278
79	4.117143779
80	4.106910931
81	4.093937052
82	4.080385292
83	4.066802413
84	4.061803826
85	4.049139222
86	4.039744476
87	4.028281294
88	4.017267485
89	4.010009767
90	4.00033162
91	3.99052157
92	3.981009222
93	3.974914057
94	3.965595312
95	3.957270664
96	3.948352459
97	3.941450235
98	3.933340567
99	3.924663185
100	3.917334879
101	3.909584221
102	3.903129453
103	3.896806124
104	3.888430854
105	3.883785491
106	3.879569058
107	3.873344867
108	3.867708041
109	3.863826385
110	3.85892756
111	3.853610408
112	3.848843588
113	3.844367217
114	3.837318515
115	3.83460314
116	3.828776598
117	3.824132884
118	3.82066273
119	3.816097539
120	3.810027062
121	3.804457934
122	3.79977234
123	3.796532097
124	3.791941693
125	3.78701871
126	3.782689849
127	3.777863596
128	3.772717984
129	3.767455468
130	3.762952184
131	3.761671268
132	3.756911278
