iter	Passed	Remaining
0	0	558
1	1	524
2	1	519
3	2	509
4	2	494
5	2	486
6	3	521
7	4	515
8	4	505
9	5	498
10	5	490
11	5	486
12	6	481
13	6	477
14	7	475
15	7	467
16	8	469
17	8	471
18	9	470
19	9	463
20	9	462
21	10	460
22	10	460
23	11	458
24	11	456
25	12	454
26	12	453
27	12	451
28	13	449
29	13	447
30	14	447
31	14	446
32	15	445
33	15	444
34	16	444
35	16	443
36	16	440
37	17	439
38	17	438
39	18	437
40	18	438
41	19	437
42	19	436
43	20	435
44	20	436
45	21	436
46	21	435
47	21	434
48	22	434
49	22	433
50	23	433
51	23	432
52	24	431
53	24	430
54	25	429
55	25	428
56	25	427
57	26	427
58	26	426
59	27	426
60	27	425
61	28	424
62	28	421
63	28	421
64	29	420
65	29	419
66	30	419
67	30	418
68	30	418
69	31	417
70	31	416
71	32	416
72	32	415
73	33	417
74	33	417
75	34	417
76	34	417
77	35	417
78	35	417
79	36	416
80	36	414
81	36	413
82	37	413
83	37	412
84	38	409
85	38	409
86	38	408
87	39	409
88	39	408
89	40	408
90	40	407
91	41	407
92	41	407
93	42	406
94	42	406
95	43	406
96	43	405
97	44	405
98	44	404
99	44	404
100	45	403
101	45	403
102	46	403
103	46	403
104	47	403
105	47	403
106	48	403
107	48	402
108	49	401
109	49	401
110	50	400
111	50	399
112	50	399
113	51	398
114	51	398
115	52	398
116	52	398
117	53	398
118	53	397
119	54	397
120	54	396
121	55	396
122	55	395
123	55	394
124	56	394
125	56	393
126	57	393
127	57	392
128	58	392
129	58	392
130	59	392
131	59	391
132	60	391
133	60	390
134	60	390
135	61	388
136	61	388
137	62	387
138	62	387
139	63	387
140	63	386
141	63	385
142	64	385
143	64	385
144	65	384
145	65	384
146	66	384
147	66	383
148	67	382
149	67	382
150	67	381
151	68	381
152	68	380
153	69	379
154	69	378
155	69	378
156	70	377
157	70	377
158	71	376
159	71	376
160	72	376
161	72	375
162	73	375
163	73	374
164	73	374
165	74	373
166	74	372
167	75	372
168	75	371
169	75	370
170	76	370
171	76	369
172	77	369
173	77	369
